Input.professor,Input.university,Input.urls,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs,Approve,Reject
brent waters,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/waters'>http://www.cs.utexas.edu/faculty/waters</a> or <a href='http://www.cs.utexas.edu/~bwaters'>http://www.cs.utexas.edu/~bwaters</a>,,,,,,Associate,Security & Privacy,http://www.cs.utexas.edu/~bwaters/,,
joshua clayton,New York University,<a href='http://cs.nyu.edu/cs/faculty/clayton'>http://cs.nyu.edu/cs/faculty/clayton</a>,Western Michigan University,,,New York University,,Assistant,Multimedia,"http://cs.nyu.edu/cs/faculty/clayton/about/, http://cs.nyu.edu/cs/faculty/clayton/",,
c. greg plaxton,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~plaxton'>http://www.cs.utexas.edu/~plaxton</a> or <a href='http://www.cs.utexas.edu/faculty/plaxton'>http://www.cs.utexas.edu/faculty/plaxton</a>,University of Toronto,Stanford University,,,,Full,Algorithms & Theory,,,
calvin lin,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/lin'>http://www.cs.utexas.edu/faculty/lin</a> or <a href='http://www.cs.utexas.edu/~lin'>http://www.cs.utexas.edu/~lin</a>,,,,,,Full,Programming Languages,http://www.cs.utexas.edu/faculty/lin,,
juliana freire,New York University,<a href='http://vgc.poly.edu/~juliana'>http://vgc.poly.edu/~juliana</a>,Universidade Federal do Cear ÌÅ a,State University of New York at Stony Brook,2014,State University of New York at Stony Brook,,Full,Computer Education,http://vgc.poly.edu/~juliana/vitae-short.pdf,,
dana ballard,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~dana'>http://www.cs.utexas.edu/~dana</a>,Massachusetts Inst. of Technology,"Information Engineering, U. California at Irvine",2012,"Information & Control Engineering, Michigan",,Full,Computer Education,http://www.cs.utexas.edu/~dana/Dana_New_CV.pdf,,
kenneth perlin,New York University,<a href='http://mrl.nyu.edu/~perlin'>http://mrl.nyu.edu/~perlin</a>,,,,,,Full,Computer Education,http://mrl.nyu.edu/~perlin/,,
dana h. ballard,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~dana'>http://www.cs.utexas.edu/~dana</a> or <a href='http://www.cs.utexas.edu/faculty/ballard'>http://www.cs.utexas.edu/faculty/ballard</a>,"Aeronautics & Astronautics, Massachusetts Inst. of Technology","Information Engineering, U. California at Irvine",,"Information & Control Engineering, Michigan",,Full,Computer Education,http://www.cs.utexas.edu/~dana/Dana_New_CV.pdf,,
lakshminarayanan subramanian,New York University,<a href='http://cs.nyu.edu/~lakshmi/Home.html'>http://cs.nyu.edu/~lakshmi/Home.html</a>,University of California at Berkeley,University of California at Berkeley,2012,University of California at Berkeley,"ndian Institute of Technology, Madras",Associate,Networks & Communications,http://cs.nyu.edu/~lakshmi/Lakshmi/Home.html,,
donald s. fussell,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~fussell'>http://www.cs.utexas.edu/~fussell</a> or <a href='http://www.cs.utexas.edu/faculty/fussell'>http://www.cs.utexas.edu/faculty/fussell</a>,Dartmouth College,University of Texas at Dallas,can't find,University of Texas at Dallas,,Full,Graphics,,,
margaret h. wright,New York University,<a href='http://cs.nyu.edu/mhw'>http://cs.nyu.edu/mhw</a>,,,,,,,Scientific Computing,http://cs.nyu.edu/mhw/,,
e. allen emerson,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/users/emerson'>http://www.cs.utexas.edu/users/emerson</a> or <a href='http://www.cs.utexas.edu/faculty/emerson'>http://www.cs.utexas.edu/faculty/emerson</a>,"University of Texas, Austin",Harvard University.,,,,Full,Algorithms & Theory,http://www.cs.utexas.edu/users/emerson/,,
martin davis,New York University,<a href='http://www.cs.nyu.edu/faculty/davism'>http://www.cs.nyu.edu/faculty/davism</a>,,,,,,Full,Computer Education,,,
emmett witchel,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~witchel'>http://www.cs.utexas.edu/~witchel</a> or <a href='http://www.cs.utexas.edu/faculty/witchel'>http://www.cs.utexas.edu/faculty/witchel</a>,,,,,,Associate,Operating Systems,http://www.cs.utexas.edu/faculty/witchel,,
eric price,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/price'>http://www.cs.utexas.edu/faculty/price</a>,,,,,,Assistant,Computer Education,,,
michael overton,New York University,<a href='http://cs.nyu.edu/cs/faculty/overton'>http://cs.nyu.edu/cs/faculty/overton</a>,"University of British Columbia,BSc",Stanford University,1979,"Stanford University,MS",,Associate,Computer Vision,"http://www.linkedin.com/pub/dir/Michael/Overton,   scholar.google.com/citations?user=q6LXYtUAAAAJ&hl=en",,
michael overton,New York University,<a href='http://cs.nyu.edu/cs/faculty/overton'>http://cs.nyu.edu/cs/faculty/overton</a>,University of British Columbia,Stanford University,,Stanford University,,Full,Computer Education,,,
michael walfish,New York University,<a href='http://www.cs.utexas.edu/~mwalfish'>http://www.cs.utexas.edu/~mwalfish</a>,Harvard University,Massachusetts Institute of Technology,2013,,,Associate,Computer Education,http://www.cs.utexas.edu/~mwalfish/bio.html http://www.cs.utexas.edu/~mwalfish/,,
mike dodds,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=miked'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=miked</a>,,,,,,Lecturer,Algorithms & Theory,http://www-users.cs.york.ac.uk/~miked/,,
mohamed zahran,New York University,<a href='http://www.mzahran.com'>http://www.mzahran.com</a>,Cairo University,University of Maryland at College Park,2010,Cairo University,,Associate,Hardware & Architecture,http://www.mzahran.com/cv.pdf,,
glenn downing,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/users/downing/drupal'>http://www.cs.utexas.edu/users/downing/drupal</a>,MIT,,2014,,,Lecturer,Computer Education,http://www.cs.utexas.edu/users/downing/drupal/,,
glenn downing,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/users/downing/drupal'>http://www.cs.utexas.edu/users/downing/drupal</a>,"MIT, Stanford,",University of Texas,2004,University of Texas,,Lecturer,Computer Vision,http://www.cs.utexas.edu/users/downing/drupal/evaluations,,
greg plaxton,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~plaxton'>http://www.cs.utexas.edu/~plaxton</a>,Purdue University,Purdue University,,Purdue University,,Full,Networks & Communications,http://faculty.poly.edu/~tsr/bio.php,,
nick pears,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=nep'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=nep</a>,Durham University,Durham University,,,Oxford University,Lecturer,Computer Vision,,,
isil dillig,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~isil'>http://www.cs.utexas.edu/~isil</a>,Stanford University,Stanford University,,Stanford University,,Assistant,Computer Education,http://www.cs.utexas.edu/~isil/,,
iÅŸil dillig,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~isil'>http://www.cs.utexas.edu/~isil</a> or <a href='http://www.cs.utexas.edu/faculty/idillig'>http://www.cs.utexas.edu/faculty/idillig</a>,Stanford University,Stanford University,2013,Stanford University,,Assistant,Computer Education,http://www.cs.utexas.edu/~isil/,,
o lisagor,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=oleg'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=oleg</a>,,,,,,Other,Algorithms & Theory,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=oleg,,
iÅŸÄ±l dillig,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~isil'>http://www.cs.utexas.edu/~isil</a>,at Stanford University,at Stanford University,2014,at Stanford University,,Assistant,Programming Languages,http://pond.webhop.org:8000/photo  http://www.cs.wm.edu/~tdillig/    http://www.nytimes.com/    http://www.phdcomics.com/comics.php,,
iÅŸÄ±l dillig,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~isil'>http://www.cs.utexas.edu/~isil</a>,Stanford University,Stanford University,,Stanford University,,Assistant,Computer Education,,,
j strother moore,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/moore'>http://www.cs.utexas.edu/faculty/moore</a> or <a href='http://www.cs.utexas.edu/~moore'>http://www.cs.utexas.edu/~moore</a>,"Massachusetts Institute of Technology,",University of Edinburgh,1997,,,Full,Computer Education,http://www.cs.utexas.edu/~moore/resume.pdf,,
james c. browne,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/%7Ebrowne'>http://www.cs.utexas.edu/%7Ebrowne</a> or <a href='http://www.cs.utexas.edu/~browne'>http://www.cs.utexas.edu/~browne</a>,BA,PhD,1960,-,University of Texas at Austin,Full,Distributed & Parallel Computing,,,
olof widlund,New York University,<a href='http://cs.nyu.edu/cs/faculty/widlund'>http://cs.nyu.edu/cs/faculty/widlund</a>,,,,,,Full,Algorithms & Theory,http://cs.nyu.edu/cs/faculty/widlund/,,
panayotis mavromatis,New York University,<a href='http://steinhardt.nyu.edu/faculty_bios/view/Panayotis_Mavromatis'>http://steinhardt.nyu.edu/faculty_bios/view/Panayotis_Mavromatis</a>,Cambridge University in England,Eastman School of Music,,Boston University,,Associate,Multimedia,http://steinhardt.nyu.edu/faculty_bios/view/Panayotis_Mavromatis,,
jonathan mugan,University of Texasâ€”Austin,<a href='http://www.jonathanmugan.com'>http://www.jonathanmugan.com</a>,Texas A&M University,The University of Texas at Austin,2013,The University of Texas at Dallas,Carnegie Mellon University,Adjunct,Computer Education,http://www.jonathanmugan.com/mugan-cv.pdf,,
jonathan mugan,University of Texasâ€”Austin,<a href='http://www.jonathanmugan.com'>http://www.jonathanmugan.com</a>,Texas A&M University,University of Texas at Austin,,The University of Texas at Dallas,Carnegie Mellon University,Other,Artificial Intelligence,http://www.jonathanmugan.com/mugan-cv.pdf,,
keshav pingali,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/pingali'>http://www.cs.utexas.edu/faculty/pingali</a> or <a href='http://www.cs.utexas.edu/~pingali'>http://www.cs.utexas.edu/~pingali</a>,"Indian Institute of Technology, Kanpur","Massachusetts Institute of Technology, Cambridge",,"Massachusetts Institute of Technology, Cambridge",,Full,Programming Languages,http://www.cs.utexas.edu/~pingali/,,
keshav pingali,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/pingali'>http://www.cs.utexas.edu/faculty/pingali</a> or <a href='http://www.cs.utexas.edu/~pingali'>http://www.cs.utexas.edu/~pingali</a>,Indian Institute of Technology,Massachusetts Institute of Technology,,Massachusetts Institute of Technology,,Full,Computer Education,http://www.cs.utexas.edu/~pingali/,,
prof nc audsley,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=neil'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=neil</a>,,,,,,Full,Programming Languages,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=neil,,
prof nc audsley,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=neil'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=neil</a>,,,,,,Full,Real-Time & Embedded Systems,,,
michael d. dahlin,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/dahlin'>http://www.cs.utexas.edu/faculty/dahlin</a> or <a href='http://www.cs.utexas.edu/users/dahlin'>http://www.cs.utexas.edu/users/dahlin</a>,,University of California at Berkeley,1996,,,Full,Operating Systems,http://www.cs.utexas.edu/users/dahlin/,,
ralph grishman,New York University,<a href='http://cs.nyu.edu/cs/faculty/grishman'>http://cs.nyu.edu/cs/faculty/grishman</a>,Columbia College,Columbia University,1983,Columbia University,,Full,Algorithms & Theory,http://cs.nyu.edu/grishman/cv.html,,
richard bonneau,New York University,<a href='http://files.nyu.edu/rb133/public'>http://files.nyu.edu/rb133/public</a> or <a href='http://bonneaulab.bio.nyu.edu'>http://bonneaulab.bio.nyu.edu</a>,"Florida State University,",University of Washington,2006,,,Assistant,Bioinformatics & Computational Biology,http://bonneaulab.bio.nyu.edu/files/bonneau-extendedCV_5.pdf,,
mike dahlin,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/users/dahlin'>http://www.cs.utexas.edu/users/dahlin</a>,,University of California at Berkeley,1996,,,Full,Computer Education,http://www.dahlins.com,,
richard cole,New York University,<a href='http://cs.nyu.edu/cs/faculty/cole'>http://cs.nyu.edu/cs/faculty/cole</a>,"University College, Oxford,",Cornell University,2011,,,Full,Algorithms & Theory,http://cs.nyu.edu/cs/faculty/cole/index.html#CP,,
richard jones,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=rjw'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=rjw</a>,,,,,,,Computer Education,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=rjw,,
mike scott,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~scottm'>http://www.cs.utexas.edu/~scottm</a>,Stanford University,,2007,Rennselaer Polytechnic Institute,,Lecturer,Computer Education,http://www.cs.utexas.edu/~scottm/cv.pdf,,
mohamed g. gouda,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/gouda'>http://www.cs.utexas.edu/faculty/gouda</a> or <a href='http://www.cs.utexas.edu/~gouda'>http://www.cs.utexas.edu/~gouda</a>,Cairo University,University of Waterloo,1980,York University,,Full,Operating Systems,http://www.cs.utexas.edu/~gouda/resume.pdf,,
rob fergus,New York University,<a href='http://cs.nyu.edu/~fergus/pmwiki/pmwiki.php'>http://cs.nyu.edu/~fergus/pmwiki/pmwiki.php</a>,University of Cambridge,University of Oxford,2007,"California Institute of Technology, Pasadena",,Associate,Computer Vision,http://www.cs.nyu.edu/~fergus/cv.pdf,,
peter stone,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/stone'>http://www.cs.utexas.edu/faculty/stone</a> or <a href='http://www.cs.utexas.edu/~pstone'>http://www.cs.utexas.edu/~pstone</a>,"The University of Chicago ,",Carnegie Mellon University,2012,Carnegie Mellon University,,Full,Computer Education,http://www.cs.utexas.edu/~pstone/cv/cv.pdf,,
peter stone,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/stone'>http://www.cs.utexas.edu/faculty/stone</a> or <a href='http://www.cs.utexas.edu/~pstone'>http://www.cs.utexas.edu/~pstone</a>,,,,,,Full,Artificial Intelligence,http://www.cs.utexas.edu/faculty/stone,,
robert grimm,New York University,<a href='http://cs.nyu.edu/~rgrimm'>http://cs.nyu.edu/~rgrimm</a>,New York University,New York University,2013,New York University,,Associate,Networks & Communications,http://cs.nyu.edu/~rgrimm/publications.html,,
robert grimm,New York University,<a href='http://cs.nyu.edu/~rgrimm'>http://cs.nyu.edu/~rgrimm</a>,Massachusetts Institute of Technology (MIT),University of Washington,2002,Massachusetts Institute of Technology (MIT) and University of Washington,,Associate,Programming Languages,http://cs.nyu.edu/~rgrimm/,,
philip cannata,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/users/cannata'>http://www.cs.utexas.edu/users/cannata</a>,University of Notre Dame,University of Notre Dame,,,,Adjunct,Software Engineering,http://www.cs.utexas.edu/users/cannata/,,
raymond j. mooney,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~mooney'>http://www.cs.utexas.edu/~mooney</a> or <a href='http://www.cs.utexas.edu/faculty/mooney'>http://www.cs.utexas.edu/faculty/mooney</a>,University of Illinois Urbana,University of Illinois Urbana,,University of Illinois Urbana,,Full,Computer Education,http://www.cs.utexas.edu/~mooney/,,
raymond j. mooney,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~mooney'>http://www.cs.utexas.edu/~mooney</a> or <a href='http://www.cs.utexas.edu/faculty/mooney'>http://www.cs.utexas.edu/faculty/mooney</a>,University of Illinois at Urbana/Champaign,University of Illinois at Urbana/Champaign,1987,University of Illinois at Urbana/Champaign,,Full,Artificial Intelligence,http://www.cs.utexas.edu/~mooney/,,
satoshi sekine,New York University,<a href='http://nlp.cs.nyu.edu/sekine'>http://nlp.cs.nyu.edu/sekine</a>,,,,,,Associate,Programming Languages,http://nlp.cs.nyu.edu/sekine/,,
stefano pirandola,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=pirs'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=pirs</a>,,"University of Camerino, Italy",2010,"University of Rome 'La Sapienza', Italy","Univ. of Camerino, Italy",,Computer Education,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=pirs#tab-1,,
robert a. van de geijn,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/van-de-geijn'>http://www.cs.utexas.edu/faculty/van-de-geijn</a> or <a href='http://www.cs.utexas.edu/~rvdg'>http://www.cs.utexas.edu/~rvdg</a>,University of Wisconsin-Madison,"University of Maryland, College Park",1987,,,Full,Distributed & Parallel Computing,http://www.cs.utexas.edu/~rvdg/vita.pdf,,
subhash khot,New York University,<a href='http://cs.nyu.edu/~khot'>http://cs.nyu.edu/~khot</a>,Indian Institute of Technology Bombay,Princeton CS Department,2008,none,,Associate,Algorithms & Theory,http://cs.nyu.edu/~khot/publications.html http://en.wikipedia.org/wiki/Subhash_Khot,,
subhash khot,New York University,<a href='http://cs.nyu.edu/~khot'>http://cs.nyu.edu/~khot</a>,,,,,,Full,Computer Education,http://cs.nyu.edu/~khot/,,
robert s. boyer,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~boyer'>http://www.cs.utexas.edu/~boyer</a>,,,1981,,,Other,Algorithms & Theory,http://www.cs.utexas.edu/~boyer/employment.html,,
susan stepney,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=susan'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=susan</a>,University of Cambridge,"University of Cambridge, Institute of Astronomy.",2002,"University of Cambridge,","Institute of Astronomy, University of Cambridge",Full,Computer Education,http://www-users.cs.york.ac.uk/~susan/int/bio.htm,,
tamar schlick,New York University,<a href='http://www.biomath.nyu.edu/index/people/tamar_schlick.html'>http://www.biomath.nyu.edu/index/people/tamar_schlick.html</a>,,Wayne State University,,"Courant Institute, NYU",,Full,Computer Education,,,
simon s. lam,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/lam'>http://www.cs.utexas.edu/faculty/lam</a> or <a href='http://www.cs.utexas.edu/users/lam'>http://www.cs.utexas.edu/users/lam</a>,Washington State University,"University of California, Los Angeles",1977,"University of California, Los Angeles",,Full,Operating Systems,http://www.cs.utexas.edu/faculty/lam,,
thomas wies,New York University,<a href='http://cs.nyu.edu/wies'>http://cs.nyu.edu/wies</a>,,"University of Freiburg, Freiburg, Germany",2011,"Saarland University, Saarbrucken, Germany","Ecole Polytechnique Federale de Lausanne, Switzerland; Institute of Science and Technology, Klosterneuburg, Austria",Assistant,Software Engineering,http://cs.nyu.edu/wies/cv_wies.pdf,,
thomas wies,New York University,<a href='http://cs.nyu.edu/wies'>http://cs.nyu.edu/wies</a>,,"Unicersity of Freiburg, Germany.",,,"Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne, Switzerland",Assistant,Computer Education,http://cs.nyu.edu/wies/,,
stephen w. keckler,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~skeckler'>http://www.cs.utexas.edu/~skeckler</a>,Stanford University,Massachusetts Institute of Technology (MIT),,Massachusetts Institute of Technology (MIT),,Adjunct,Computer Education,http://www.cs.utexas.edu/~skeckler/,,
tim kelly,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=tpk'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=tpk</a>,,,,,,Full,Software Engineering,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=tpk#tab-1,,
william smith,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wsmith'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wsmith</a>,"University of York,",University of York,2007,,,Lecturer,Data Mining,http://www-users.cs.york.ac.uk/~wsmith/index.html,,
tandy warnow,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~tandy'>http://www.cs.utexas.edu/~tandy</a> or <a href='http://www.cs.utexas.edu/faculty/warnow'>http://www.cs.utexas.edu/faculty/warnow</a>,,,,,,Full,Bioinformatics & Computational Biology,http://www.cs.utexas.edu/~tandy/,,
tandy warnow,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~tandy'>http://www.cs.utexas.edu/~tandy</a> or <a href='http://www.cs.utexas.edu/faculty/warnow'>http://www.cs.utexas.edu/faculty/warnow</a>,,,,,,Assistant,Algorithms & Theory,http://www.cs.utexas.edu/~tandy/,,
zvi kedem,New York University,<a href='http://cs.nyu.edu/cs/faculty/kedem'>http://cs.nyu.edu/cs/faculty/kedem</a>,the Technion â€“ Israel Institute of Technology,the Technion â€“ Israel Institute of Technology,1984,,MIT,Full,Scientific Computing,http://www.linkedin.com/in/zvikedem,,
vijaya ramachandran,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/ramachandran'>http://www.cs.utexas.edu/faculty/ramachandran</a> or <a href='http://www.cs.utexas.edu/~vlr'>http://www.cs.utexas.edu/~vlr</a>,,Princeton University,,,,Full,Algorithms & Theory,http://www.cs.utexas.edu/faculty/ramachandran,,
abraham (ibrahim) matta,Boston University,<a href='http://www.cs.bu.edu/fac/matta'>http://www.cs.bu.edu/fac/matta</a>,"Alexandria University, Egypt",University of Maryland at College Park,,"Alexandria University, Egypt",,Full,Networks & Communications,http://www.cs.bu.edu/fac/matta/,,
abraham (ibrahim) matta,Boston University,<a href='http://www.cs.bu.edu/fac/matta'>http://www.cs.bu.edu/fac/matta</a>,"Alexandria University,",University of Maryland at College Park,Sep-12,Alexandria University,,Full,Computer Education,http://www.cs.bu.edu/fac/matta/,,
warren a. hunt jr.,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~hunt'>http://www.cs.utexas.edu/~hunt</a> or <a href='http://www.cs.utexas.edu/faculty/hunt'>http://www.cs.utexas.edu/faculty/hunt</a>,,,,,,Full,Software Engineering,http://www.cs.utexas.edu/~hunt/,,
william d. (bill) young,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/~byoung'>http://www.cs.utexas.edu/~byoung</a>,University of Texas at Austin,University of Texas at Austin,2001,University of Texas at Austin,,Lecturer,Security & Privacy,,,
abraham (ibrahim) matta *,Boston University,<a href='http://www.cs.bu.edu/fac/matta'>http://www.cs.bu.edu/fac/matta</a>,"Alexandria University, Egypt",University of Maryland at College Park,2012,"Alexandria University, Egypt",,Full,Computer Education,http://www.cs.bu.edu/fac/matta/,,
william h. press,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/press'>http://www.cs.utexas.edu/faculty/press</a> or <a href='http://nr.com/whp'>http://nr.com/whp</a>,Harvard College,California Insitute of Technology,2007,California Insitute of Technology,,Full,Bioinformatics & Computational Biology,http://nr.com/whp/background.html,,
william h. press,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/press'>http://www.cs.utexas.edu/faculty/press</a> or <a href='http://nr.com/whp'>http://nr.com/whp</a>,,,,,,Full,Bioinformatics & Computational Biology,http://nr.com/whp/,,
assaf j. kfoury,Boston University,<a href='http://www.cs.bu.edu/fac/kfoury'>http://www.cs.bu.edu/fac/kfoury</a>,,,,,,Full,Programming Languages,http://www.cs.bu.edu/fac/kfoury/,,
william r. cook,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/%7Ewcook'>http://www.cs.utexas.edu/%7Ewcook</a> or <a href='http://www.cs.utexas.edu/~wcook'>http://www.cs.utexas.edu/~wcook</a> or <a href='http://www.cs.utexas.edu/faculty/cook'>http://www.cs.utexas.edu/faculty/cook</a>,Tulane University,Brown University,2010,Brown University,,Associate,Computer Education,http://www.cs.utexas.edu/~wcook/Vita/WCook_Vita.pdf,,
azer bestavros,Boston University,<a href='http://www.cs.bu.edu/~best'>http://www.cs.bu.edu/~best</a> or <a href='http://azer.bestavros.net'>http://azer.bestavros.net</a>,summa cum laude in Computer Engineering from Alexandria University,Harvard University,2010,"Alexandria University,",,Full,Computer Education,http://www.cs.bu.edu/~best/ResumeShort.pdf,,
david g. sullivan,Boston University,<a href='http://cs-people.bu.edu/dgs'>http://cs-people.bu.edu/dgs</a>,Harvard College,Harvard University,2000,Harvard University,,Lecturer,Computer Education,"http://cs-people.bu.edu/dgs/research.html, http://cs-people.bu.edu/dgs/sullivan_cv.pdf",,
david g. sullivan,Boston University,<a href='http://cs-people.bu.edu/dgs'>http://cs-people.bu.edu/dgs</a>,Harvard College,Harvard University,2006,Harvard University,,Lecturer,Artificial Intelligence,http://cs-people.bu.edu/dgs/sullivan_cv.pdf,,
yin zhang,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/zhang'>http://www.cs.utexas.edu/faculty/zhang</a> or <a href='http://www.cs.utexas.edu/~yzhang'>http://www.cs.utexas.edu/~yzhang</a>,P EKING U NIVERSITY,C ORNELL U NIVERSITY,,C ORNELL U NIVERSITY,,Associate,Computer Education,http://www.cs.utexas.edu/~yzhang/cv/cv.pdf,,
yin zhang,University of Texasâ€”Austin,<a href='http://www.cs.utexas.edu/faculty/zhang'>http://www.cs.utexas.edu/faculty/zhang</a> or <a href='http://www.cs.utexas.edu/~yzhang'>http://www.cs.utexas.edu/~yzhang</a>,CORNELL UNIVERSITY,CORNELL UNIVERSITY,2000,CORNELL UNIVERSITY,,Associate,Computer Vision,http://www.caam.rice.edu/~yzhang/,,
george kollios,Boston University,<a href='http://www.cs.bu.edu/fac/gkollios'>http://www.cs.bu.edu/fac/gkollios</a>,"national technical university, Athens Greece",Polytechnic university,2000,"national technical university, Athens Greece",,Associate,Databases,http://www.cs.bu.edu/fac/gkollios/bio.html,,
john byers,Boston University,<a href='http://www.cs.bu.edu/fac/byers'>http://www.cs.bu.edu/fac/byers</a>,Cornell University,University of California at Berkeley,1999,,,Associate,Algorithms & Theory,http://www.cs.bu.edu/fac/byers/cv.pdf,,
alvin r. lebeck,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=22'>http://www.cs.duke.edu/people/faculty/?csid=22</a>,University of Wisconsin-Madison,University of Wisconsin-Madison,,University of Wisconsin-Madison,,Full,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=22,,
alvin r. lebeck,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=22'>http://www.cs.duke.edu/people/faculty/?csid=22</a>,University of Wisconsin-Madison,University of Wisconsin-Madison,,University of Wisconsin-Madison,,Full,Hardware & Architecture,,,
andrew hilton,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3797'>http://www.cs.duke.edu/people/faculty/?csid=3797</a>,,,,,,Assistant,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3797,,
john w. byers,Boston University,<a href='http://www.cs.bu.edu/fac/byers'>http://www.cs.bu.edu/fac/byers</a>,Cornell University,UC Berkeley,,,,Associate,Algorithms & Theory,http://www.cs.bu.edu/fac/byers/cv.pdf,,
